Status Checking,Credit History,Purpose,Savings Account,Employement since,Installmentrate %,Other debtors,PresentResidence,Property,Age in years,Otherinstallment Plans,Housing,Number existing Credits,Job,Number people liable,Telephone,Foreign Worker,Target,Credit Amount per Month,Sex,Status
no checking account,critical account / other credits existing (not at this bank),car (new),less than 100DM,bigger than or equal 7 years,3,None,4,real estate,32,None,own,2,unskilled-resident,2,None,no,0,123.1,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,radio/television,less than 100DM,bigger than or equal 7 years,4,None,3,"if not others options : car or other, not in savings accounts/bonds",37,None,own,1,skilled employee /official,2,None,yes,1,53.46666666666667,male , single
no checking account,critical account / other credits existing (not at this bank),business,unknown / no savings account,bigger than or equal 7 years,4,None,4,real estate,36,None,own,2,skilled employee /official,1,None,yes,0,175.11111111111111,male , single
no checking account,existing credits paind back duly till now,radio/television,less than 100DM,less than 1 year,4,None,3,"if not others options : car or other, not in savings accounts/bonds",38,stores,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,63.875,female , divorced/separated/married
less than 0 DM,existing credits paind back duly till now,car (new),less than 100DM,bigger than or equal 7 years,1,None,4,if not real estate : building society savings agreement/life insurance,45,None,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",no,1,641.2857142857143,male , divorced/separated
no checking account,existing credits paind back duly till now,radio/television,unknown / no savings account,bigger than or equal 7 years,4,None,2,"if not others options : car or other, not in savings accounts/bonds",25,None,own,2,skilled employee /official,1,None,yes,0,41.625,male , single
no checking account,existing credits paind back duly till now,car (new),unknown / no savings account,4 less than and equal and less than 7 years,4,None,3,if not real estate : building society savings agreement/life insurance,32,None,own,1,skilled employee /official,1,None,no,0,147.88888888888889,male , single
no checking account,critical account / other credits existing (not at this bank),furniture/equipment,500 less than or equal and 1000 DM,4 less than and equal and less than 7 years,3,None,4,"if not others options : car or other, not in savings accounts/bonds",37,None,rent,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,116.83333333333333,female , divorced/separated/married
0 less than or equal and less than 200 DM,all credits at this band paid back duly,car (new),unknown / no savings account,unemployed,4,co-applicant,4,unknown/no property,36,None,for free,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,0,253.52083333333334,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,radio/television,less than 100DM,4 less than and equal and less than 7 years,4,None,4,real estate,28,None,own,2,skilled employee /official,1,None,yes,1,63.75,male , single
less than 0 DM,existing credits paind back duly till now,reparis,less than 100DM,less than 1 year,1,None,1,unknown/no property,34,None,own,1,unskilled-resident,1,"yes, registered under the customers name",yes,1,399.93333333333334,male , divorced/separated
no checking account,existing credits paind back duly till now,radio/television,less than 100DM,1 less than or equal and less than 4 years,1,None,2,real estate,32,None,own,1,skilled employee /official,2,None,yes,0,299.6666666666667,male , single
no checking account,critical account / other credits existing (not at this bank),radio/television,less than 100DM,1 less than or equal and less than 4 years,2,None,2,"if not others options : car or other, not in savings accounts/bonds",26,None,own,2,skilled employee /official,1,None,yes,0,133.55555555555554,female , divorced/separated/married
less than 0 DM,existing credits paind back duly till now,furniture/equipment,unknown / no savings account,bigger than or equal 7 years,2,None,4,if not real estate : building society savings agreement/life insurance,49,None,own,1,unskilled-resident,1,"yes, registered under the customers name",yes,0,105.16666666666667,male , divorced/separated
no checking account,existing credits paind back duly till now,furniture/equipment,less than 100DM,less than 1 year,1,None,4,if not real estate : building society savings agreement/life insurance,32,None,own,1,skilled employee /official,1,None,yes,1,768.5,female , divorced/separated/married
no checking account,existing credits paind back duly till now,radio/television,100 less than or equal and < 500DM,1 less than or equal and less than 4 years,4,None,4,"if not others options : car or other, not in savings accounts/bonds",29,None,rent,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,0,79.20833333333333,male , single
no checking account,critical account / other credits existing (not at this bank),car (used),bigger than or equal 1000 DM,bigger than or equal 7 years,3,None,4,unknown/no property,23,None,rent,2,skilled employee /official,1,"yes, registered under the customers name",yes,0,224.53333333333333,male , single
no checking account,existing credits paind back duly till now,furniture/equipment,less than 100DM,1 less than or equal and less than 4 years,4,None,2,real estate,50,None,own,1,skilled employee /official,1,None,yes,0,131.16666666666666,male , single
bigger than 200DM / salary assignments for at least 1 year,all credits at this band paid back duly,radio/television,unknown / no savings account,4 less than and equal and less than 7 years,4,None,4,"if not others options : car or other, not in savings accounts/bonds",49,bank,own,1,unskilled-resident,1,None,yes,0,80.27777777777777,male , single
no checking account,critical account / other credits existing (not at this bank),furniture/equipment,unknown / no savings account,bigger than or equal 7 years,4,None,4,if not real estate : building society savings agreement/life insurance,63,None,own,1,skilled employee /official,1,None,yes,0,101.33333333333333,male , single
0 less than or equal and less than 200 DM,critical account / other credits existing (not at this bank),car (new),100 less than or equal and < 500DM,less than 1 year,4,None,2,"if not others options : car or other, not in savings accounts/bonds",37,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,161.58333333333334,male , divorced/separated
less than 0 DM,existing credits paind back duly till now,car (new),less than 100DM,less than 1 year,1,None,1,real estate,35,None,own,1,unskilled-resident,1,"yes, registered under the customers name",yes,0,228.12765957446808,female , divorced/separated/married
less than 0 DM,existing credits paind back duly till now,car (used),less than 100DM,4 less than and equal and less than 7 years,4,None,3,if not real estate : building society savings agreement/life insurance,26,None,own,1,skilled employee /official,2,None,yes,0,99.75,male , single
0 less than or equal and less than 200 DM,delay in paying off in the past,others,100 less than or equal and < 500DM,unemployed,2,None,4,unknown/no property,31,None,for free,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,0,157.95833333333334,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,radio/television,less than 100DM,1 less than or equal and less than 4 years,4,guarantor,4,real estate,49,None,own,2,skilled employee /official,1,"yes, registered under the customers name",yes,0,91.0,female , divorced/separated/married
less than 0 DM,delay in paying off in the past,radio/television,less than 100DM,less than 1 year,4,None,4,real estate,48,stores,own,1,skilled employee /official,1,None,yes,1,42.666666666666664,male , married/windowed
no checking account,existing credits paind back duly till now,business,less than 100DM,1 less than or equal and less than 4 years,2,None,2,real estate,26,None,own,1,skilled employee /official,1,"yes, registered under the customers name",no,0,89.66666666666667,male , married/windowed
0 less than or equal and less than 200 DM,existing credits paind back duly till now,car (used),less than 100DM,less than 1 year,1,None,4,"if not others options : car or other, not in savings accounts/bonds",28,None,rent,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,1,261.05555555555554,male , married/windowed
less than 0 DM,critical account / other credits existing (not at this bank),car (used),less than 100DM,bigger than or equal 7 years,2,None,4,unknown/no property,44,None,for free,2,management/self-employed/highly qualified employee/officer,2,"yes, registered under the customers name",yes,0,267.4583333333333,female , divorced/separated/married
bigger than 200DM / salary assignments for at least 1 year,critical account / other credits existing (not at this bank),car (used),less than 100DM,bigger than or equal 7 years,4,None,4,unknown/no property,56,None,for free,1,skilled employee /official,1,None,yes,0,114.19047619047619,male , single
no checking account,critical account / other credits existing (not at this bank),business,unknown / no savings account,bigger than or equal 7 years,4,None,2,"if not others options : car or other, not in savings accounts/bonds",46,bank,own,2,management/self-employed/highly qualified employee/officer,2,None,yes,0,158.9375,male , divorced/separated
0 less than or equal and less than 200 DM,existing credits paind back duly till now,furniture/equipment,less than 100DM,less than 1 year,1,None,2,"if not others options : car or other, not in savings accounts/bonds",26,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,1,207.5,female , divorced/separated/married
no checking account,existing credits paind back duly till now,car (used),unknown / no savings account,less than 1 year,1,None,4,"if not others options : car or other, not in savings accounts/bonds",20,None,rent,1,skilled employee /official,1,None,yes,0,389.5833333333333,female , divorced/separated/married
no checking account,existing credits paind back duly till now,car (new),unknown / no savings account,bigger than or equal 7 years,4,co-applicant,2,if not real estate : building society savings agreement/life insurance,45,None,own,1,unskilled-resident,1,None,no,0,128.7,male , single
no checking account,existing credits paind back duly till now,furniture/equipment,less than 100DM,1 less than or equal and less than 4 years,3,None,4,real estate,43,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,139.72222222222223,male , single
0 less than or equal and less than 200 DM,critical account / other credits existing (not at this bank),furniture/equipment,bigger than or equal 1000 DM,4 less than and equal and less than 7 years,3,None,2,"if not others options : car or other, not in savings accounts/bonds",32,None,own,2,skilled employee /official,1,"yes, registered under the customers name",yes,0,130.71428571428572,male , single
no checking account,existing credits paind back duly till now,car (new),less than 100DM,unemployed,1,None,4,real estate,54,None,own,1,unemployed/unskilled-non-resident,1,"yes, registered under the customers name",yes,0,112.0,female , divorced/separated/married
0 less than or equal and less than 200 DM,no credits tanken/all credits paid back duly,radio/television,less than 100DM,1 less than or equal and less than 4 years,4,None,1,"if not others options : car or other, not in savings accounts/bonds",42,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,1,105.66666666666667,female , divorced/separated/married
bigger than 200DM / salary assignments for at least 1 year,critical account / other credits existing (not at this bank),car (new),unknown / no savings account,4 less than and equal and less than 7 years,4,None,2,real estate,37,bank,own,2,unskilled-resident,2,None,yes,1,56.0,male , single
less than 0 DM,critical account / other credits existing (not at this bank),car (new),less than 100DM,4 less than and equal and less than 7 years,4,co-applicant,3,if not real estate : building society savings agreement/life insurance,49,None,own,2,skilled employee /official,1,"yes, registered under the customers name",yes,0,103.8,male , single
no checking account,critical account / other credits existing (not at this bank),car (new),500 less than or equal and 1000 DM,1 less than or equal and less than 4 years,2,None,2,unknown/no property,44,bank,for free,1,skilled employee /official,1,None,yes,1,210.97916666666666,male , single
no checking account,existing credits paind back duly till now,furniture/equipment,bigger than or equal 1000 DM,1 less than or equal and less than 4 years,4,None,2,real estate,33,None,own,1,skilled employee /official,1,None,yes,0,257.1666666666667,male , divorced/separated
no checking account,existing credits paind back duly till now,car (used),unknown / no savings account,4 less than and equal and less than 7 years,2,None,4,if not real estate : building society savings agreement/life insurance,24,stores,rent,1,unskilled-resident,1,None,yes,0,160.36666666666667,female , divorced/separated/married
less than 0 DM,existing credits paind back duly till now,radio/television,100 less than or equal and < 500DM,less than 1 year,4,None,3,unknown/no property,33,None,own,1,unskilled-resident,1,"yes, registered under the customers name",yes,1,60.583333333333336,male , married/windowed
0 less than or equal and less than 200 DM,existing credits paind back duly till now,furniture/equipment,less than 100DM,1 less than or equal and less than 4 years,3,None,4,real estate,24,None,own,1,skilled employee /official,1,None,yes,1,154.625,female , divorced/separated/married
0 less than or equal and less than 200 DM,existing credits paind back duly till now,car (new),less than 100DM,1 less than or equal and less than 4 years,4,None,4,real estate,22,None,rent,1,unskilled-resident,1,None,yes,0,30.666666666666668,male , married/windowed
0 less than or equal and less than 200 DM,existing credits paind back duly till now,others,unknown / no savings account,unemployed,3,None,4,unknown/no property,40,bank,for free,1,unemployed/unskilled-non-resident,1,"yes, registered under the customers name",yes,0,112.10416666666667,male , single
no checking account,existing credits paind back duly till now,furniture/equipment,100 less than or equal and < 500DM,1 less than or equal and less than 4 years,4,None,1,"if not others options : car or other, not in savings accounts/bonds",25,stores,own,1,skilled employee /official,1,None,yes,0,229.625,male , single
bigger than 200DM / salary assignments for at least 1 year,existing credits paind back duly till now,furniture/equipment,less than 100DM,less than 1 year,2,None,4,"if not others options : car or other, not in savings accounts/bonds",26,None,own,1,skilled employee /official,1,None,yes,0,156.20833333333334,female , divorced/separated/married
0 less than or equal and less than 200 DM,existing credits paind back duly till now,car (new),less than 100DM,4 less than and equal and less than 7 years,2,None,3,"if not others options : car or other, not in savings accounts/bonds",25,bank,own,1,unskilled-resident,1,None,yes,1,57.083333333333336,male , married/windowed
bigger than 200DM / salary assignments for at least 1 year,existing credits paind back duly till now,car (new),unknown / no savings account,less than 1 year,1,None,2,real estate,29,None,own,1,unskilled-resident,2,None,no,0,373.5,male , single
less than 0 DM,all credits at this band paid back duly,furniture/equipment,less than 100DM,bigger than or equal 7 years,4,None,4,"if not others options : car or other, not in savings accounts/bonds",31,bank,own,1,skilled employee /official,1,None,yes,1,76.27777777777777,male , single
less than 0 DM,existing credits paind back duly till now,furniture/equipment,less than 100DM,1 less than or equal and less than 4 years,2,guarantor,3,if not real estate : building society savings agreement/life insurance,38,None,own,1,unskilled-resident,2,None,yes,0,59.0,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,furniture/equipment,unknown / no savings account,1 less than or equal and less than 4 years,1,None,4,if not real estate : building society savings agreement/life insurance,48,None,own,1,unskilled-resident,1,"yes, registered under the customers name",yes,0,181.29166666666666,female , divorced/separated/married
no checking account,critical account / other credits existing (not at this bank),education,less than 100DM,1 less than or equal and less than 4 years,4,None,2,"if not others options : car or other, not in savings accounts/bonds",32,None,own,2,skilled employee /official,1,None,yes,0,58.416666666666664,male , single
less than 0 DM,delay in paying off in the past,furniture/equipment,less than 100DM,bigger than or equal 7 years,1,None,4,if not real estate : building society savings agreement/life insurance,27,None,own,2,unskilled-resident,1,None,yes,0,242.86666666666667,female , divorced/separated/married
0 less than or equal and less than 200 DM,critical account / other credits existing (not at this bank),car (new),less than 100DM,unemployed,4,None,2,"if not others options : car or other, not in savings accounts/bonds",28,None,own,2,management/self-employed/highly qualified employee/officer,1,None,yes,1,141.63333333333333,male , married/windowed
less than 0 DM,existing credits paind back duly till now,radio/television,less than 100DM,less than 1 year,4,None,3,if not real estate : building society savings agreement/life insurance,32,None,own,1,skilled employee /official,1,None,yes,1,80.75,male , divorced/separated
less than 0 DM,existing credits paind back duly till now,car (used),less than 100DM,4 less than and equal and less than 7 years,2,None,1,unknown/no property,34,None,for free,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,0,121.25,male , single
less than 0 DM,existing credits paind back duly till now,furniture/equipment,bigger than or equal 1000 DM,1 less than or equal and less than 4 years,4,None,2,"if not others options : car or other, not in savings accounts/bonds",28,None,own,1,skilled employee /official,1,None,yes,0,147.72222222222223,male , single
no checking account,critical account / other credits existing (not at this bank),car (new),less than 100DM,1 less than or equal and less than 4 years,4,None,3,real estate,36,None,own,2,skilled employee /official,1,None,yes,0,57.111111111111114,female , divorced/separated/married
less than 0 DM,critical account / other credits existing (not at this bank),car (new),less than 100DM,4 less than and equal and less than 7 years,1,None,4,real estate,39,None,own,2,unskilled-resident,1,None,no,0,424.75,male , single
no checking account,critical account / other credits existing (not at this bank),furniture/equipment,unknown / no savings account,bigger than or equal 7 years,2,None,4,if not real estate : building society savings agreement/life insurance,49,None,rent,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,483.4166666666667,male , single
no checking account,existing credits paind back duly till now,car (new),bigger than or equal 1000 DM,4 less than and equal and less than 7 years,4,None,3,"if not others options : car or other, not in savings accounts/bonds",34,None,own,1,skilled employee /official,2,"yes, registered under the customers name",yes,0,63.541666666666664,female , divorced/separated/married
bigger than 200DM / salary assignments for at least 1 year,existing credits paind back duly till now,radio/television,less than 100DM,bigger than or equal 7 years,4,None,2,"if not others options : car or other, not in savings accounts/bonds",31,None,own,1,skilled employee /official,1,None,yes,0,124.25,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,radio/television,less than 100DM,bigger than or equal 7 years,4,None,4,"if not others options : car or other, not in savings accounts/bonds",28,None,own,1,skilled employee /official,2,None,yes,0,178.0,male , single
less than 0 DM,critical account / other credits existing (not at this bank),car (used),less than 100DM,unemployed,2,None,4,unknown/no property,75,None,for free,2,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,0,275.625,male , single
no checking account,critical account / other credits existing (not at this bank),education,100 less than or equal and < 500DM,1 less than or equal and less than 4 years,4,None,2,real estate,30,None,own,2,skilled employee /official,1,None,yes,1,103.55555555555556,female , divorced/separated/married
0 less than or equal and less than 200 DM,existing credits paind back duly till now,car (new),100 less than or equal and < 500DM,less than 1 year,4,None,2,if not real estate : building society savings agreement/life insurance,24,None,own,1,management/self-employed/highly qualified employee/officer,1,None,yes,1,123.46666666666667,female , divorced/separated/married
no checking account,critical account / other credits existing (not at this bank),car (used),100 less than or equal and < 500DM,1 less than or equal and less than 4 years,2,None,4,"if not others options : car or other, not in savings accounts/bonds",24,bank,rent,2,unskilled-resident,1,None,yes,1,241.45833333333334,female , divorced/separated/married
less than 0 DM,no credits tanken/all credits paid back duly,furniture/equipment,less than 100DM,bigger than or equal 7 years,3,None,4,unknown/no property,23,bank,rent,2,skilled employee /official,2,None,yes,1,171.25,male , single
less than 0 DM,critical account / other credits existing (not at this bank),furniture/equipment,less than 100DM,1 less than or equal and less than 4 years,1,None,4,real estate,44,None,rent,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,1,564.0,male , divorced/separated
0 less than or equal and less than 200 DM,existing credits paind back duly till now,radio/television,less than 100DM,less than 1 year,2,guarantor,4,if not real estate : building society savings agreement/life insurance,23,None,own,1,unskilled-resident,1,None,yes,0,161.6153846153846,female , divorced/separated/married
less than 0 DM,existing credits paind back duly till now,domestic appliances,unknown / no savings account,1 less than or equal and less than 4 years,4,None,2,"if not others options : car or other, not in savings accounts/bonds",24,None,rent,1,skilled employee /official,1,None,yes,1,85.0,female , divorced/separated/married
less than 0 DM,existing credits paind back duly till now,furniture/equipment,less than 100DM,1 less than or equal and less than 4 years,4,None,4,if not real estate : building society savings agreement/life insurance,28,None,own,1,skilled employee /official,1,None,yes,0,173.70833333333334,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,furniture/equipment,less than 100DM,1 less than or equal and less than 4 years,4,None,2,"if not others options : car or other, not in savings accounts/bonds",31,None,own,1,unskilled-resident,1,None,yes,0,152.1,male , divorced/separated
0 less than or equal and less than 200 DM,critical account / other credits existing (not at this bank),education,less than 100DM,less than 1 year,2,None,4,unknown/no property,24,None,for free,2,skilled employee /official,1,"yes, registered under the customers name",yes,0,239.29166666666666,female , divorced/separated/married
less than 0 DM,existing credits paind back duly till now,furniture/equipment,less than 100DM,4 less than and equal and less than 7 years,1,None,4,"if not others options : car or other, not in savings accounts/bonds",26,None,rent,1,unskilled-resident,1,None,yes,0,171.38095238095238,female , divorced/separated/married
0 less than or equal and less than 200 DM,existing credits paind back duly till now,radio/television,500 less than or equal and 1000 DM,less than 1 year,1,None,3,real estate,25,None,rent,1,skilled employee /official,1,None,yes,0,178.5,male , married/windowed
0 less than or equal and less than 200 DM,existing credits paind back duly till now,business,less than 100DM,bigger than or equal 7 years,1,co-applicant,1,real estate,33,bank,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,0,246.61111111111111,male , single
bigger than 200DM / salary assignments for at least 1 year,existing credits paind back duly till now,car (new),less than 100DM,less than 1 year,1,guarantor,1,if not real estate : building society savings agreement/life insurance,37,None,own,1,unskilled-resident,2,None,yes,0,394.9,male , single
no checking account,critical account / other credits existing (not at this bank),radio/television,less than 100DM,1 less than or equal and less than 4 years,4,None,2,"if not others options : car or other, not in savings accounts/bonds",43,None,own,1,unskilled-resident,1,None,yes,0,97.26666666666667,female , divorced/separated/married
0 less than or equal and less than 200 DM,critical account / other credits existing (not at this bank),radio/television,less than 100DM,less than 1 year,4,guarantor,4,real estate,23,None,own,2,skilled employee /official,1,None,yes,0,67.84615384615384,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,radio/television,500 less than or equal and 1000 DM,unemployed,1,None,4,unknown/no property,23,None,rent,1,unemployed/unskilled-non-resident,1,None,yes,0,156.58333333333334,female , divorced/separated/married
no checking account,delay in paying off in the past,business,100 less than or equal and < 500DM,1 less than or equal and less than 4 years,1,None,2,real estate,34,None,own,2,unskilled-resident,1,None,yes,0,290.5,male , single
0 less than or equal and less than 200 DM,critical account / other credits existing (not at this bank),education,bigger than or equal 1000 DM,bigger than or equal 7 years,4,None,3,unknown/no property,32,None,for free,2,skilled employee /official,2,None,yes,1,126.22222222222223,male , single
no checking account,existing credits paind back duly till now,domestic appliances,less than 100DM,less than 1 year,1,None,4,real estate,23,None,rent,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,137.33333333333334,female , divorced/separated/married
0 less than or equal and less than 200 DM,existing credits paind back duly till now,furniture/equipment,less than 100DM,1 less than or equal and less than 4 years,1,None,2,"if not others options : car or other, not in savings accounts/bonds",29,None,own,1,skilled employee /official,1,None,no,1,106.55555555555556,female , divorced/separated/married
no checking account,critical account / other credits existing (not at this bank),car (used),unknown / no savings account,unemployed,2,None,4,unknown/no property,38,None,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,0,179.38888888888889,male , single
less than 0 DM,no credits tanken/all credits paid back duly,radio/television,less than 100DM,1 less than or equal and less than 4 years,4,None,2,if not real estate : building society savings agreement/life insurance,28,None,rent,2,skilled employee /official,1,"yes, registered under the customers name",yes,1,516.5833333333334,male , single
no checking account,existing credits paind back duly till now,education,500 less than or equal and 1000 DM,bigger than or equal 7 years,4,None,4,unknown/no property,46,None,for free,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,72.7,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,car (new),less than 100DM,less than 1 year,4,None,2,real estate,23,stores,own,1,unskilled-resident,1,None,yes,1,51.916666666666664,male , single
no checking account,critical account / other credits existing (not at this bank),radio/television,unknown / no savings account,bigger than or equal 7 years,1,co-applicant,4,real estate,49,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,194.25,male , single
no checking account,delay in paying off in the past,radio/television,less than 100DM,1 less than or equal and less than 4 years,4,None,2,"if not others options : car or other, not in savings accounts/bonds",26,None,own,2,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,1,123.97222222222223,male , single
no checking account,existing credits paind back duly till now,radio/television,less than 100DM,1 less than or equal and less than 4 years,4,None,2,real estate,28,None,own,1,skilled employee /official,1,None,yes,0,64.66666666666667,male , married/windowed
less than 0 DM,existing credits paind back duly till now,furniture/equipment,less than 100DM,4 less than and equal and less than 7 years,4,None,4,real estate,23,None,rent,1,skilled employee /official,1,None,yes,1,80.2,female , divorced/separated/married
0 less than or equal and less than 200 DM,existing credits paind back duly till now,education,unknown / no savings account,1 less than or equal and less than 4 years,4,None,4,unknown/no property,61,None,for free,1,skilled employee /official,1,None,yes,0,68.83333333333333,male , single
bigger than 200DM / salary assignments for at least 1 year,existing credits paind back duly till now,radio/television,unknown / no savings account,bigger than or equal 7 years,2,None,3,"if not others options : car or other, not in savings accounts/bonds",37,None,own,1,management/self-employed/highly qualified employee/officer,1,None,yes,0,283.25,male , single
bigger than 200DM / salary assignments for at least 1 year,delay in paying off in the past,car (new),less than 100DM,1 less than or equal and less than 4 years,2,None,2,"if not others options : car or other, not in savings accounts/bonds",36,stores,own,2,skilled employee /official,1,"yes, registered under the customers name",yes,0,187.25,female , divorced/separated/married
no checking account,existing credits paind back duly till now,furniture/equipment,less than 100DM,1 less than or equal and less than 4 years,1,None,2,if not real estate : building society savings agreement/life insurance,21,None,rent,1,skilled employee /official,1,None,yes,0,294.3333333333333,male , married/windowed
less than 0 DM,existing credits paind back duly till now,furniture/equipment,less than 100DM,unemployed,4,None,1,"if not others options : car or other, not in savings accounts/bonds",25,None,own,1,unemployed/unskilled-non-resident,1,None,yes,1,137.38888888888889,male , single
no checking account,existing credits paind back duly till now,business,less than 100DM,4 less than and equal and less than 7 years,2,None,4,"if not others options : car or other, not in savings accounts/bonds",36,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,128.5,male , single
no checking account,critical account / other credits existing (not at this bank),car (used),less than 100DM,4 less than and equal and less than 7 years,3,None,1,"if not others options : car or other, not in savings accounts/bonds",27,None,own,2,skilled employee /official,1,None,yes,0,213.88888888888889,male , single
less than 0 DM,existing credits paind back duly till now,furniture/equipment,less than 100DM,less than 1 year,1,None,4,"if not others options : car or other, not in savings accounts/bonds",22,None,rent,1,skilled employee /official,1,None,yes,0,202.77777777777777,female , divorced/separated/married
less than 0 DM,existing credits paind back duly till now,furniture/equipment,less than 100DM,bigger than or equal 7 years,4,None,2,"if not others options : car or other, not in savings accounts/bonds",42,None,own,1,skilled employee /official,2,None,yes,1,95.72222222222223,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,furniture/equipment,less than 100DM,4 less than and equal and less than 7 years,2,None,4,real estate,40,None,rent,1,skilled employee /official,1,None,yes,0,166.72222222222223,female , divorced/separated/married
no checking account,existing credits paind back duly till now,car (new),unknown / no savings account,1 less than or equal and less than 4 years,4,None,4,real estate,36,None,own,1,skilled employee /official,1,None,yes,0,85.52777777777777,male , single
no checking account,critical account / other credits existing (not at this bank),radio/television,less than 100DM,bigger than or equal 7 years,3,None,4,"if not others options : car or other, not in savings accounts/bonds",33,None,own,2,skilled employee /official,1,"yes, registered under the customers name",yes,0,337.22222222222223,male , single
no checking account,critical account / other credits existing (not at this bank),furniture/equipment,less than 100DM,less than 1 year,1,None,3,real estate,23,None,rent,2,skilled employee /official,1,None,yes,0,214.6,female , divorced/separated/married
no checking account,critical account / other credits existing (not at this bank),car (new),unknown / no savings account,bigger than or equal 7 years,2,None,4,unknown/no property,63,bank,for free,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,0,229.26666666666668,male , single
0 less than or equal and less than 200 DM,all credits at this band paid back duly,others,100 less than or equal and < 500DM,bigger than or equal 7 years,3,None,4,unknown/no property,60,bank,for free,2,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,1,246.36666666666667,female , divorced/separated/married
less than 0 DM,all credits at this band paid back duly,business,less than 100DM,4 less than and equal and less than 7 years,2,guarantor,4,"if not others options : car or other, not in savings accounts/bonds",37,None,rent,1,skilled employee /official,1,None,yes,1,160.10416666666666,female , divorced/separated/married
no checking account,delay in paying off in the past,radio/television,less than 100DM,unemployed,2,None,3,real estate,34,None,own,2,skilled employee /official,1,None,yes,0,128.88888888888889,male , married/windowed
no checking account,delay in paying off in the past,radio/television,unknown / no savings account,bigger than or equal 7 years,3,None,4,unknown/no property,36,None,for free,1,skilled employee /official,1,None,yes,0,120.85714285714286,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,car (new),less than 100DM,bigger than or equal 7 years,4,None,2,unknown/no property,57,None,for free,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,1,397.72222222222223,male , single
no checking account,critical account / other credits existing (not at this bank),car (new),100 less than or equal and < 500DM,1 less than or equal and less than 4 years,4,None,4,"if not others options : car or other, not in savings accounts/bonds",52,None,own,2,unskilled-resident,1,None,yes,0,60.333333333333336,female , divorced/separated/married
less than 0 DM,existing credits paind back duly till now,furniture/equipment,unknown / no savings account,4 less than and equal and less than 7 years,4,None,4,"if not others options : car or other, not in savings accounts/bonds",39,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,110.6,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,car (used),less than 100DM,unemployed,3,None,4,unknown/no property,38,None,for free,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,1,720.8888888888889,female , divorced/separated/married
no checking account,existing credits paind back duly till now,car (new),unknown / no savings account,4 less than and equal and less than 7 years,4,None,4,if not real estate : building society savings agreement/life insurance,25,None,rent,1,skilled employee /official,1,None,yes,0,58.31818181818182,female , divorced/separated/married
bigger than 200DM / salary assignments for at least 1 year,existing credits paind back duly till now,car (new),less than 100DM,less than 1 year,4,None,1,real estate,26,None,own,1,skilled employee /official,1,None,yes,0,110.83333333333333,male , single
no checking account,delay in paying off in the past,business,100 less than or equal and < 500DM,1 less than or equal and less than 4 years,2,None,2,if not real estate : building society savings agreement/life insurance,26,None,own,2,unskilled-resident,1,None,yes,0,142.4,male , single
no checking account,critical account / other credits existing (not at this bank),radio/television,less than 100DM,1 less than or equal and less than 4 years,2,None,1,"if not others options : car or other, not in savings accounts/bonds",25,None,own,2,skilled employee /official,1,None,yes,0,124.33333333333333,female , divorced/separated/married
